                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.6192,                 1.1462,                 1.4583,                0.82103,                0.73276,                0.82139,                0.45119,                 1.6419,                 1.1733,                 1.6701,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.5927,                 1.1412,                 1.4506,                0.86044,                0.76293,                0.83919,                0.44497,                  1.651,                 1.1986,                 1.6539,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.6095,                 1.1598,                 1.4631,                0.79336,                0.78879,                0.81289,                0.43675,                 1.6016,                 1.2049,                 1.6465,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.6077,                 1.1593,                 1.4367,                0.83161,                0.75431,                0.81488,                  0.445,                 1.5894,                  1.194,                 1.6413,              0.0086338,              0.0086338,              0.0086338
                    140,                  1.608,                 1.1263,                 1.4569,                 0.8033,                0.76293,                0.82007,                0.42612,                 1.6333,                 1.1739,                 1.6574,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.6413,                  1.192,                 1.4781,                0.76958,                  0.763,                0.80106,                0.42239,                 1.5989,                 1.2038,                 1.6592,               0.008614,               0.008614,               0.008614
                    142,                 1.6188,                 1.1218,                 1.4373,                0.78199,                0.76293,                0.83158,                0.44133,                 1.6066,                 1.1747,                 1.6496,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.5997,                 1.1356,                 1.4297,                0.79718,                0.74544,                0.81644,                0.43054,                 1.5439,                 1.2033,                 1.6029,              0.0085942,              0.0085942,              0.0085942
                    144,                  1.636,                 1.1755,                 1.4621,                0.85274,                0.74877,                0.82253,                0.43007,                 1.6006,                 1.2346,                  1.632,              0.0085843,              0.0085843,              0.0085843
                    145,                 1.5944,                 1.1131,                 1.4367,                0.81617,                0.75431,                0.84137,                 0.4415,                 1.5897,                 1.1959,                   1.63,              0.0085744,              0.0085744,              0.0085744
                    146,                 1.5941,                 1.1334,                  1.442,                0.79081,                0.79844,                0.82969,                 0.4537,                 1.5537,                 1.1921,                 1.5944,              0.0085645,              0.0085645,              0.0085645
                    147,                 1.5963,                 1.1438,                 1.4167,                0.77041,                0.78879,                0.82207,                0.44134,                 1.5754,                 1.1869,                 1.6235,              0.0085546,              0.0085546,              0.0085546
