                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.5813,                 1.2286,                 1.4592,                0.78245,                   0.75,                0.80472,                0.41919,                 1.5065,                 1.2318,                 1.6421,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.5732,                 1.2233,                 1.4573,                0.77292,                0.70421,                0.79182,                0.42963,                 1.5043,                 1.2136,                 1.6437,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.5843,                 1.2472,                 1.4516,                 0.7694,                0.73707,                0.79586,                0.41419,                  1.571,                 1.2323,                 1.7046,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.5552,                 1.1958,                  1.435,                0.77786,                   0.75,                0.81041,                 0.4307,                 1.5777,                 1.2197,                 1.6834,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.5842,                 1.2414,                 1.4603,                0.81113,                0.74569,                0.81597,                0.42732,                  1.617,                 1.1997,                 1.7331,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.5805,                 1.2264,                 1.4736,                0.84006,                0.74708,                0.81528,                 0.4318,                 1.5174,                 1.2296,                 1.6415,               0.009109,               0.009109,               0.009109
                     92,                 1.5792,                 1.1947,                 1.4516,                0.81164,                   0.75,                0.82736,                0.42887,                 1.5467,                 1.2037,                 1.6684,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.5622,                 1.1965,                 1.4515,                0.85985,                0.71404,                0.84282,                0.44814,                 1.5238,                 1.1287,                 1.6595,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.5441,                 1.2136,                 1.4532,                0.79558,                 0.7381,                0.82028,                0.42843,                 1.5276,                 1.2109,                 1.6631,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.5537,                 1.2315,                 1.4507,                0.67869,                0.76293,                 0.7815,                0.42275,                 1.5576,                 1.1881,                 1.6911,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.5454,                 1.2034,                 1.4466,                 0.7736,                0.73276,                0.81437,                0.43089,                 1.5678,                  1.138,                 1.6968,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.5464,                 1.1913,                 1.4318,                0.78418,                 0.6578,                0.78479,                 0.4243,                 1.5327,                 1.2229,                 1.6677,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.5463,                 1.1722,                 1.4319,                0.74533,                0.67672,                0.79951,                0.41772,                 1.5511,                 1.1814,                 1.6674,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.5529,                  1.185,                 1.4507,                0.75396,                0.72414,                0.79895,                0.43259,                 1.5341,                 1.1809,                 1.6637,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.5431,                 1.1684,                 1.4478,                0.78759,                0.69397,                0.79904,                0.42218,                 1.5397,                 1.2113,                 1.6625,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.5474,                 1.1601,                 1.4411,                0.75293,                 0.7069,                0.80389,                0.43251,                 1.4987,                 1.1638,                  1.627,                0.00901,                0.00901,                0.00901
                    102,                 1.5349,                 1.1416,                 1.4378,                0.77235,                0.78971,                 0.8269,                0.42877,                 1.5551,                 1.1684,                 1.6745,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.5537,                 1.1817,                 1.4393,                0.79479,                 0.7069,                0.79034,                0.39761,                 1.5095,                 1.1479,                 1.6654,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.5128,                 1.1712,                 1.4114,                0.78681,                0.72414,                0.80905,                0.41711,                 1.4815,                 1.2089,                 1.6344,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.5413,                 1.1283,                 1.4284,                  0.745,                0.79334,                 0.8168,                0.44406,                 1.4901,                 1.1571,                 1.6552,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.5115,                  1.171,                 1.4155,                0.82274,                0.78017,                0.82587,                0.42894,                 1.4923,                 1.1724,                 1.6522,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.5333,                  1.133,                 1.4206,                0.79812,                0.79741,                0.84594,                0.44046,                 1.5066,                 1.1292,                 1.6618,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.5157,                 1.1255,                 1.4122,                0.84965,                0.77945,                   0.85,                0.45409,                 1.4959,                 1.0873,                 1.6434,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.5338,                 1.1255,                 1.4292,                0.83694,                0.74138,                0.82976,                 0.4594,                 1.5336,                  1.096,                 1.6551,              0.0089308,              0.0089308,              0.0089308
